match_id,market_type,outcome,p_elo-baseline,p_poisson-goals,p_form-last-10,p_kalshi,v_kalshi,model_max_min
WC26-ALG-AUT-2026-06-27,match_1x2,away,0.477,0.301,0.472,,0,0.176
WC26-ALG-AUT-2026-06-27,match_1x2,draw,0.229,0.267,0.243,,0,0.038
WC26-ALG-AUT-2026-06-27,match_1x2,home,0.294,0.432,0.284,,0,0.148
WC26-ARG-ALG-2026-06-16,match_1x2,away,0.09,0.238,0.31,,0,0.22
WC26-ARG-ALG-2026-06-16,match_1x2,draw,0.15,0.31,0.259,,0,0.16
WC26-ARG-ALG-2026-06-16,match_1x2,home,0.76,0.452,0.431,,0,0.329
WC26-ARG-AUT-2026-06-22,match_1x2,away,0.137,0.195,0.414,0.4,0,0.277
WC26-ARG-AUT-2026-06-22,match_1x2,draw,0.15,0.258,0.242,0.58,0,0.108
WC26-ARG-AUT-2026-06-22,match_1x2,home,0.713,0.546,0.344,0.43,0,0.369
WC26-ARG-DZA-2026-06-16,match_1x2,away,,,,0.32,0,
WC26-ARG-DZA-2026-06-16,match_1x2,draw,,,,0.18,0,
WC26-ARG-DZA-2026-06-16,match_1x2,home,,,,0.73,0,
WC26-AUS-TUR-2026-06-13,match_1x2,away,0.531,0.25,0.396,,0,0.281
WC26-AUS-TUR-2026-06-13,match_1x2,draw,0.201,0.238,0.243,,0,0.042
WC26-AUS-TUR-2026-06-13,match_1x2,home,0.268,0.512,0.361,,0,0.244
WC26-AUT-JOR-2026-06-16,match_1x2,away,0.254,0.326,0.224,,0,0.102
WC26-AUT-JOR-2026-06-16,match_1x2,draw,0.188,0.245,0.21,,0,0.057
WC26-AUT-JOR-2026-06-16,match_1x2,home,0.559,0.429,0.566,,0,0.137
WC26-AUT-JOR-2026-06-17,match_1x2,away,,,,0.13,0,
WC26-AUT-JOR-2026-06-17,match_1x2,draw,,,,0.15,0,
WC26-AUT-JOR-2026-06-17,match_1x2,home,,,,0.73,0,
WC26-BEL-EGY-2026-06-15,match_1x2,away,0.223,0.346,0.185,0.2,0,0.161
WC26-BEL-EGY-2026-06-15,match_1x2,draw,0.159,0.315,0.201,0.28,0,0.156
WC26-BEL-EGY-2026-06-15,match_1x2,home,0.618,0.339,0.614,0.68,0,0.279
WC26-BEL-IRI-2026-06-21,match_1x2,away,0.278,0.346,0.224,0.45,0,0.122
WC26-BEL-IRI-2026-06-21,match_1x2,draw,0.211,0.261,0.207,0.5,0,0.054
WC26-BEL-IRI-2026-06-21,match_1x2,home,0.511,0.393,0.569,0.79,0,0.176
WC26-BIH-QAT-2026-06-24,match_1x2,away,,0.513,0.191,,0,0.322
WC26-BIH-QAT-2026-06-24,match_1x2,draw,,0.225,0.227,,0,0.002
WC26-BIH-QAT-2026-06-24,match_1x2,home,,0.261,0.583,,0,0.322
WC26-BRA-HAI-2026-06-19,match_1x2,away,0.059,0.377,0.288,,0,0.318
WC26-BRA-HAI-2026-06-19,match_1x2,draw,0.15,0.24,0.274,,0,0.124
WC26-BRA-HAI-2026-06-19,match_1x2,home,0.791,0.383,0.439,,0,0.408
WC26-BRA-HTI-2026-06-19,match_1x2,away,,,,0.06,0,
WC26-BRA-HTI-2026-06-19,match_1x2,draw,,,,0.05,0,
WC26-BRA-HTI-2026-06-19,match_1x2,home,,,,0.83,0,
WC26-BRA-MAR-2026-06-13,match_1x2,away,0.234,0.473,0.424,0.19,0,0.239
WC26-BRA-MAR-2026-06-13,match_1x2,draw,0.169,0.308,0.284,0.25,0,0.139
WC26-BRA-MAR-2026-06-13,match_1x2,home,0.598,0.218,0.291,0.63,0,0.38
WC26-CAN-BIH-2026-06-12,match_1x2,away,,0.137,0.313,,0,0.176
WC26-CAN-BIH-2026-06-12,match_1x2,draw,,0.201,0.285,,0,0.084
WC26-CAN-BIH-2026-06-12,match_1x2,home,,0.662,0.402,,0,0.26
WC26-CAN-QAT-2026-06-18,match_1x2,away,,0.216,0.124,0.45,0,0.092
WC26-CAN-QAT-2026-06-18,match_1x2,draw,,0.236,0.247,0.43,0,0.011
WC26-CAN-QAT-2026-06-18,match_1x2,home,,0.548,0.629,0.77,0,0.081
WC26-CAN-SUI-2026-06-24,match_1x2,away,0.409,0.265,0.401,,0,0.144
WC26-CAN-SUI-2026-06-24,match_1x2,draw,0.266,0.251,0.292,,0,0.041
WC26-CAN-SUI-2026-06-24,match_1x2,home,0.325,0.484,0.307,,0,0.177
WC26-CIV-ECU-2026-06-14,match_1x2,away,0.692,0.216,0.24,0.48,0,0.476
WC26-CIV-ECU-2026-06-14,match_1x2,draw,0.15,0.374,0.298,0.36,0,0.224
WC26-CIV-ECU-2026-06-14,match_1x2,home,0.158,0.41,0.462,0.28,0,0.304
WC26-COD-UZB-2026-06-27,match_1x2,away,0.458,0.414,0.34,,0,0.118
WC26-COD-UZB-2026-06-27,match_1x2,draw,0.239,0.364,0.324,,0,0.125
WC26-COD-UZB-2026-06-27,match_1x2,home,0.303,0.222,0.336,,0,0.114
WC26-COL-COD-2026-06-23,match_1x2,away,0.116,0.277,0.327,,0,0.211
WC26-COL-COD-2026-06-23,match_1x2,draw,0.15,0.35,0.274,,0,0.2
WC26-COL-COD-2026-06-23,match_1x2,home,0.734,0.373,0.399,,0,0.361
WC26-COL-POR-2026-06-27,match_1x2,away,0.363,0.491,0.455,0.38,0,0.128
WC26-COL-POR-2026-06-27,match_1x2,draw,0.292,0.26,0.216,0.49,0,0.076
WC26-COL-POR-2026-06-27,match_1x2,home,0.345,0.249,0.328,0.2,0,0.096
WC26-CPV-KSA-2026-06-26,match_1x2,away,0.378,0.284,0.233,,0,0.145
WC26-CPV-KSA-2026-06-26,match_1x2,draw,0.284,0.349,0.255,,0,0.094
WC26-CPV-KSA-2026-06-26,match_1x2,home,0.339,0.367,0.511,0.78,0,0.172
WC26-CRO-GHA-2026-06-27,match_1x2,away,0.068,0.225,0.221,,0,0.157
WC26-CRO-GHA-2026-06-27,match_1x2,draw,0.15,0.251,0.217,0.09,0,0.101
WC26-CRO-GHA-2026-06-27,match_1x2,home,0.782,0.524,0.562,0.25,0,0.258
WC26-CUW-CIV-2026-06-25,match_1x2,away,,0.509,0.432,0.15,0,0.077
WC26-CUW-CIV-2026-06-25,match_1x2,draw,,0.252,0.243,0.1,0,0.009
WC26-CUW-CIV-2026-06-25,match_1x2,home,,0.239,0.326,,0,0.087
WC26-CZE-RSA-2026-06-18,match_1x2,away,0.202,0.428,0.329,,0,0.226
WC26-CZE-RSA-2026-06-18,match_1x2,draw,0.15,0.269,0.243,,0,0.119
WC26-CZE-RSA-2026-06-18,match_1x2,home,0.648,0.303,0.428,,0,0.345
WC26-DZA-AUT-2026-06-27,match_1x2,away,,,,0.8,0,
WC26-DZA-AUT-2026-06-27,match_1x2,draw,,,,0.05,0,
WC26-DZA-AUT-2026-06-27,match_1x2,home,,,,0.1,0,
WC26-ECU-CUW-2026-06-20,match_1x2,away,,0.336,0.394,0.48,0,0.058
WC26-ECU-CUW-2026-06-20,match_1x2,draw,,0.335,0.31,0.04,0,0.025
WC26-ECU-CUW-2026-06-20,match_1x2,home,,0.329,0.296,0.8,0,0.033
WC26-ECU-GER-2026-06-25,match_1x2,away,0.344,0.384,0.523,0.64,0,0.179
WC26-ECU-GER-2026-06-25,match_1x2,draw,0.291,0.32,0.272,0.13,0,0.048
WC26-ECU-GER-2026-06-25,match_1x2,home,0.364,0.296,0.204,0.44,0,0.16
WC26-EGY-IRI-2026-06-26,match_1x2,away,0.457,0.321,0.404,0.69,0,0.136
WC26-EGY-IRI-2026-06-26,match_1x2,draw,0.239,0.312,0.293,,0,0.073
WC26-EGY-IRI-2026-06-26,match_1x2,home,0.304,0.367,0.303,0.6,0,0.064
WC26-ENG-CRO-2026-06-17,match_1x2,away,,0.229,0.378,0.26,0,0.149
WC26-ENG-CRO-2026-06-17,match_1x2,draw,,0.268,0.235,0.25,0,0.033
WC26-ENG-CRO-2026-06-17,match_1x2,home,,0.503,0.386,0.58,0,0.117
WC26-ENG-GHA-2026-06-23,match_1x2,away,,0.127,0.197,0.34,0,0.07
WC26-ENG-GHA-2026-06-23,match_1x2,draw,,0.207,0.233,0.08,0,0.026
WC26-ENG-GHA-2026-06-23,match_1x2,home,,0.666,0.57,0.78,0,0.096
WC26-ESP-CPV-2026-06-15,match_1x2,away,0.024,0.151,0.221,0.05,0,0.197
WC26-ESP-CPV-2026-06-15,match_1x2,draw,0.15,0.234,0.209,0.08,0,0.084
WC26-ESP-CPV-2026-06-15,match_1x2,home,0.826,0.614,0.57,0.91,0,0.256
WC26-ESP-KSA-2026-06-21,match_1x2,away,0.026,0.123,0.117,0.17,0,0.097
WC26-ESP-KSA-2026-06-21,match_1x2,draw,0.15,0.222,0.181,0.07,0,0.072
WC26-ESP-KSA-2026-06-21,match_1x2,home,0.824,0.656,0.702,0.83,0,0.168
WC26-FRA-IRQ-2026-06-22,match_1x2,away,0.052,0.252,0.234,,0,0.2
WC26-FRA-IRQ-2026-06-22,match_1x2,draw,0.15,0.271,0.237,,0,0.121
WC26-FRA-IRQ-2026-06-22,match_1x2,home,0.798,0.477,0.529,,0,0.321
WC26-FRA-SEN-2026-06-16,match_1x2,away,0.201,0.391,0.328,0.15,0,0.19
WC26-FRA-SEN-2026-06-16,match_1x2,draw,0.15,0.297,0.233,0.23,0,0.147
WC26-FRA-SEN-2026-06-16,match_1x2,home,0.649,0.312,0.439,0.71,0,0.337
WC26-GER-CIV-2026-06-20,match_1x2,away,0.165,0.466,0.338,,0,0.301
WC26-GER-CIV-2026-06-20,match_1x2,draw,0.15,0.251,0.233,,0,0.101
WC26-GER-CIV-2026-06-20,match_1x2,home,0.685,0.283,0.429,0.8,0,0.402
WC26-GER-CUW-2026-06-14,match_1x2,away,,0.331,0.287,0.02,0,0.044
WC26-GER-CUW-2026-06-14,match_1x2,draw,,0.223,0.23,0.05,0,0.007
WC26-GER-CUW-2026-06-14,match_1x2,home,,0.446,0.482,0.95,0,0.036
WC26-GHA-PAN-2026-06-17,match_1x2,away,0.673,0.429,0.389,0.3,0,0.284
WC26-GHA-PAN-2026-06-17,match_1x2,draw,0.15,0.259,0.272,0.26,0,0.122
WC26-GHA-PAN-2026-06-17,match_1x2,home,0.177,0.312,0.338,0.48,0,0.161
WC26-HAI-SCO-2026-06-13,match_1x2,away,,0.183,0.421,,0,0.238
WC26-HAI-SCO-2026-06-13,match_1x2,draw,,0.178,0.254,,0,0.076
WC26-HAI-SCO-2026-06-13,match_1x2,home,,0.638,0.325,,0,0.313
WC26-HTI-SCO-2026-06-13,match_1x2,away,,,,0.66,0,
WC26-HTI-SCO-2026-06-13,match_1x2,draw,,,,0.2,0,
WC26-HTI-SCO-2026-06-13,match_1x2,home,,,,0.15,0,
WC26-IRI-NZL-2026-06-15,match_1x2,away,0.225,0.492,0.198,0.3,0,0.294
WC26-IRI-NZL-2026-06-15,match_1x2,draw,0.161,0.241,0.252,0.37,0,0.091
WC26-IRI-NZL-2026-06-15,match_1x2,home,0.615,0.267,0.55,0.57,0,0.348
WC26-IRQ-NOR-2026-06-16,match_1x2,away,0.725,0.508,0.666,,0,0.217
WC26-IRQ-NOR-2026-06-16,match_1x2,draw,0.15,0.24,0.191,,0,0.09
WC26-IRQ-NOR-2026-06-16,match_1x2,home,0.125,0.252,0.143,,0,0.127
WC26-JOR-ALG-2026-06-22,match_1x2,away,0.429,0.479,0.472,,0,0.05
WC26-JOR-ALG-2026-06-22,match_1x2,draw,0.255,0.262,0.24,,0,0.022
WC26-JOR-ALG-2026-06-22,match_1x2,home,0.316,0.258,0.289,,0,0.058
WC26-JOR-ARG-2026-06-27,match_1x2,away,0.781,0.59,0.532,0.8,0,0.249
WC26-JOR-ARG-2026-06-27,match_1x2,draw,0.15,0.246,0.225,0.08,0,0.096
WC26-JOR-ARG-2026-06-27,match_1x2,home,0.069,0.164,0.243,0.16,0,0.174
WC26-JOR-DZA-2026-06-22,match_1x2,away,,,,,0,
WC26-JOR-DZA-2026-06-22,match_1x2,draw,,,,,0,
WC26-JOR-DZA-2026-06-22,match_1x2,home,,,,,0,
WC26-JPN-SWE-2026-06-25,match_1x2,away,0.217,0.1,0.208,,0,0.117
WC26-JPN-SWE-2026-06-25,match_1x2,draw,0.154,0.146,0.222,,0,0.076
WC26-JPN-SWE-2026-06-25,match_1x2,home,0.629,0.754,0.57,,0,0.184
WC26-KOR-CZE-2026-06-11,match_1x2,away,0.334,0.264,0.412,,0,0.148
WC26-KOR-CZE-2026-06-11,match_1x2,draw,0.278,0.232,0.244,,0,0.046
WC26-KOR-CZE-2026-06-11,match_1x2,home,0.388,0.503,0.344,,0,0.159
WC26-KSA-URU-2026-06-15,match_1x2,away,0.736,0.471,0.434,0.64,0,0.302
WC26-KSA-URU-2026-06-15,match_1x2,draw,0.15,0.345,0.301,0.22,0,0.195
WC26-KSA-URU-2026-06-15,match_1x2,home,0.114,0.184,0.265,0.2,0,0.151
WC26-MAR-HAI-2026-06-24,match_1x2,away,0.135,0.221,0.218,,0,0.086
WC26-MAR-HAI-2026-06-24,match_1x2,draw,0.15,0.247,0.276,,0,0.126
WC26-MAR-HAI-2026-06-24,match_1x2,home,0.715,0.532,0.506,,0,0.209
WC26-MAR-HTI-2026-06-24,match_1x2,away,,,,0.78,0,
WC26-MAR-HTI-2026-06-24,match_1x2,draw,,,,,0,
WC26-MAR-HTI-2026-06-24,match_1x2,home,,,,0.75,0,
WC26-MEX-CZE-2026-06-24,match_1x2,away,0.207,0.22,0.336,,0,0.129
WC26-MEX-CZE-2026-06-24,match_1x2,draw,0.15,0.27,0.262,,0,0.12
WC26-MEX-CZE-2026-06-24,match_1x2,home,0.643,0.51,0.402,,0,0.241
WC26-MEX-KOR-2026-06-18,match_1x2,away,0.228,0.309,0.298,0.53,0,0.081
WC26-MEX-KOR-2026-06-18,match_1x2,draw,0.163,0.293,0.278,0.11,0,0.13
WC26-MEX-KOR-2026-06-18,match_1x2,home,0.609,0.399,0.424,0.39,0,0.21
WC26-MEX-RSA-2026-06-11,match_1x2,away,0.078,0.26,0.282,0.14,0,0.204
WC26-MEX-RSA-2026-06-11,match_1x2,draw,0.15,0.323,0.275,0.21,0,0.173
WC26-MEX-RSA-2026-06-11,match_1x2,home,0.772,0.417,0.442,0.65,0,0.355
WC26-NED-JPN-2026-06-14,match_1x2,away,0.314,0.553,0.265,0.32,0,0.288
WC26-NED-JPN-2026-06-14,match_1x2,draw,0.251,0.218,0.228,0.26,0,0.033
WC26-NED-JPN-2026-06-14,match_1x2,home,0.435,0.229,0.507,0.49,0,0.278
WC26-NED-SWE-2026-06-20,match_1x2,away,0.169,0.199,0.142,,0,0.057
WC26-NED-SWE-2026-06-20,match_1x2,draw,0.15,0.185,0.175,,0,0.035
WC26-NED-SWE-2026-06-20,match_1x2,home,0.681,0.617,0.683,,0,0.066
WC26-NOR-FRA-2026-06-26,match_1x2,away,0.608,0.38,0.283,0.5,0,0.325
WC26-NOR-FRA-2026-06-26,match_1x2,draw,0.164,0.232,0.2,0.11,0,0.068
WC26-NOR-FRA-2026-06-26,match_1x2,home,0.228,0.388,0.518,0.15,0,0.29
WC26-NOR-SEN-2026-06-22,match_1x2,away,0.329,0.408,0.222,0.14,0,0.186
WC26-NOR-SEN-2026-06-22,match_1x2,draw,0.271,0.266,0.204,0.61,0,0.067
WC26-NOR-SEN-2026-06-22,match_1x2,home,0.4,0.327,0.574,0.3,0,0.247
WC26-NZL-BEL-2026-06-26,match_1x2,away,0.709,0.288,0.718,0.78,0,0.43
WC26-NZL-BEL-2026-06-26,match_1x2,draw,0.15,0.246,0.162,,0,0.096
WC26-NZL-BEL-2026-06-26,match_1x2,home,0.141,0.465,0.12,0.05,0,0.345
WC26-NZL-EGY-2026-06-21,match_1x2,away,0.508,0.28,0.498,0.8,0,0.228
WC26-NZL-EGY-2026-06-21,match_1x2,draw,0.213,0.298,0.272,0.05,0,0.085
WC26-NZL-EGY-2026-06-21,match_1x2,home,0.279,0.422,0.23,0.65,0,0.192
WC26-PAN-CRO-2026-06-23,match_1x2,away,0.639,0.467,0.539,0.8,0,0.172
WC26-PAN-CRO-2026-06-23,match_1x2,draw,0.15,0.259,0.23,,0,0.109
WC26-PAN-CRO-2026-06-23,match_1x2,home,0.21,0.274,0.231,0.44,0,0.064
WC26-PAN-ENG-2026-06-27,match_1x2,away,,0.616,0.545,0.79,0,0.071
WC26-PAN-ENG-2026-06-27,match_1x2,draw,,0.225,0.25,0.06,0,0.025
WC26-PAN-ENG-2026-06-27,match_1x2,home,,0.16,0.205,0.36,0,0.045
WC26-PAR-AUS-2026-06-25,match_1x2,away,0.318,0.63,0.436,0.06,0,0.312
WC26-PAR-AUS-2026-06-25,match_1x2,draw,0.257,0.253,0.289,,0,0.036
WC26-PAR-AUS-2026-06-25,match_1x2,home,0.424,0.117,0.275,0.75,0,0.307
WC26-POR-COD-2026-06-17,match_1x2,away,0.111,0.199,0.269,,0,0.158
WC26-POR-COD-2026-06-17,match_1x2,draw,0.15,0.294,0.249,,0,0.144
WC26-POR-COD-2026-06-17,match_1x2,home,0.739,0.507,0.482,,0,0.257
WC26-POR-UZB-2026-06-23,match_1x2,away,0.158,0.307,0.283,0.38,0,0.149
WC26-POR-UZB-2026-06-23,match_1x2,draw,0.15,0.29,0.235,,0,0.14
WC26-POR-UZB-2026-06-23,match_1x2,home,0.692,0.404,0.482,0.81,0,0.288
WC26-QAT-SUI-2026-06-13,match_1x2,away,,0.45,0.665,0.78,0,0.215
WC26-QAT-SUI-2026-06-13,match_1x2,draw,,0.231,0.203,0.17,0,0.028
WC26-QAT-SUI-2026-06-13,match_1x2,home,,0.319,0.131,0.1,0,0.188
WC26-RSA-KOR-2026-06-24,match_1x2,away,0.67,0.41,0.387,,0,0.283
WC26-RSA-KOR-2026-06-24,match_1x2,draw,0.15,0.273,0.259,,0,0.123
WC26-RSA-KOR-2026-06-24,match_1x2,home,0.18,0.317,0.354,0.8,0,0.174
WC26-SCO-BRA-2026-06-24,match_1x2,away,,0.585,0.397,0.73,0,0.188
WC26-SCO-BRA-2026-06-24,match_1x2,draw,,0.224,0.252,0.2,0,0.028
WC26-SCO-BRA-2026-06-24,match_1x2,home,,0.191,0.351,0.17,0,0.16
WC26-SCO-MAR-2026-06-19,match_1x2,away,,0.699,0.457,0.8,0,0.242
WC26-SCO-MAR-2026-06-19,match_1x2,draw,,0.198,0.258,0.49,0,0.06
WC26-SCO-MAR-2026-06-19,match_1x2,home,,0.103,0.286,0.78,0,0.183
WC26-SEN-IRQ-2026-06-26,match_1x2,away,0.148,0.213,0.263,,0,0.115
WC26-SEN-IRQ-2026-06-26,match_1x2,draw,0.15,0.308,0.277,,0,0.158
WC26-SEN-IRQ-2026-06-26,match_1x2,home,0.702,0.478,0.46,,0,0.242
WC26-SUI-BIH-2026-06-18,match_1x2,away,,0.209,0.303,,0,0.094
WC26-SUI-BIH-2026-06-18,match_1x2,draw,,0.211,0.239,,0,0.028
WC26-SUI-BIH-2026-06-18,match_1x2,home,,0.58,0.458,,0,0.122
WC26-SUI-CAN-2026-06-24,match_1x2,away,,,,0.61,0,
WC26-SUI-CAN-2026-06-24,match_1x2,draw,,,,0.06,0,
WC26-SUI-CAN-2026-06-24,match_1x2,home,,,,0.69,0,
WC26-SWE-TUN-2026-06-14,match_1x2,away,0.295,0.529,0.455,,0,0.234
WC26-SWE-TUN-2026-06-14,match_1x2,draw,0.23,0.27,0.24,,0,0.04
WC26-SWE-TUN-2026-06-14,match_1x2,home,0.475,0.201,0.304,,0,0.274
WC26-TUN-JPN-2026-06-20,match_1x2,away,0.7,0.454,0.489,,0,0.246
WC26-TUN-JPN-2026-06-20,match_1x2,draw,0.15,0.318,0.253,,0,0.168
WC26-TUN-JPN-2026-06-20,match_1x2,home,0.15,0.228,0.258,,0,0.108
WC26-TUN-JPN-2026-06-21,match_1x2,away,,,,0.78,0,
WC26-TUN-JPN-2026-06-21,match_1x2,draw,,,,,0,
WC26-TUN-JPN-2026-06-21,match_1x2,home,,,,,0,
WC26-TUN-NED-2026-06-25,match_1x2,away,0.737,0.341,0.619,0.48,0,0.396
WC26-TUN-NED-2026-06-25,match_1x2,draw,0.15,0.305,0.204,,0,0.155
WC26-TUN-NED-2026-06-25,match_1x2,home,0.113,0.354,0.177,,0,0.241
WC26-TUR-PAR-2026-06-19,match_1x2,away,0.305,0.181,0.281,,0,0.124
WC26-TUR-PAR-2026-06-19,match_1x2,draw,0.241,0.242,0.254,,0,0.013
WC26-TUR-PAR-2026-06-19,match_1x2,home,0.454,0.577,0.465,,0,0.123
WC26-URU-CPV-2026-06-21,match_1x2,away,0.104,0.217,0.427,0.81,0,0.323
WC26-URU-CPV-2026-06-21,match_1x2,draw,0.15,0.348,0.278,0.49,0,0.198
WC26-URU-CPV-2026-06-21,match_1x2,home,0.746,0.435,0.295,0.76,0,0.451
WC26-URU-ESP-2026-06-26,match_1x2,away,0.704,0.449,0.636,0.75,0,0.255
WC26-URU-ESP-2026-06-26,match_1x2,draw,0.15,0.3,0.209,0.05,0,0.15
WC26-URU-ESP-2026-06-26,match_1x2,home,0.146,0.252,0.155,0.78,0,0.106
WC26-USA-AUS-2026-06-19,match_1x2,away,0.348,0.336,0.359,0.44,0,0.023
WC26-USA-AUS-2026-06-19,match_1x2,draw,0.297,0.283,0.245,0.33,0,0.052
WC26-USA-AUS-2026-06-19,match_1x2,home,0.354,0.381,0.396,0.71,0,0.042
WC26-USA-PAR-2026-06-12,match_1x2,away,0.42,0.104,0.289,0.23,0,0.316
WC26-USA-PAR-2026-06-12,match_1x2,draw,0.26,0.219,0.255,0.24,0,0.041
WC26-USA-PAR-2026-06-12,match_1x2,home,0.32,0.677,0.455,0.5,0,0.357
WC26-USA-TUR-2026-06-25,match_1x2,away,0.527,0.229,0.373,,0,0.298
WC26-USA-TUR-2026-06-25,match_1x2,draw,0.203,0.216,0.225,,0,0.022
WC26-USA-TUR-2026-06-25,match_1x2,home,0.27,0.554,0.402,,0,0.284
WC26-UZB-COL-2026-06-17,match_1x2,away,0.685,0.281,0.405,0.7,0,0.404
WC26-UZB-COL-2026-06-17,match_1x2,draw,0.15,0.315,0.255,0.16,0,0.165
WC26-UZB-COL-2026-06-17,match_1x2,home,0.165,0.403,0.34,0.15,0,0.238
